更新时间: 2026-04-21 20:47:30（北京时间）
⚠️ 注意：频道列表已通过30秒增强稳定性测试
📺 经过30秒稳定性测试，减少断流问题

免责声明,#genre#
免责声明视频,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

央视频道,#genre#
北京卫视,http://58.62.234.243:10000/rtp/239.77.0.91:5146$广东电信
北京卫视,http://58.62.234.243:10000/rtp/239.77.1.13:5146$广东电信
吉林卫视,http://171.8.84.159:8800/rtp/239.16.20.94:10940$河南电信
吉林卫视,http://183.151.27.188:4022/rtp/233.50.200.164:5140$浙江电信
吉林卫视,http://183.151.27.188:4022/rtp/233.50.202.42:5140$浙江电信
吉林卫视,http://183.164.46.181:6688/rtp/238.1.79.48:4496$安徽电信
吉林卫视,http://183.165.195.249:7000/rtp/238.1.79.48:4496$安徽电信
吉林卫视,http://223.10.214.111:6000/rtp/239.1.1.30:8030$山西电信
吉林卫视,http://39.77.75.225:4000/udp/239.253.254.173:8000$山东联通
吉林卫视,http://58.62.234.243:10000/rtp/239.77.1.111:5146$广东电信
四川卫视,http://171.8.84.159:8800/rtp/239.16.20.86:10860$河南电信
四川卫视,http://183.151.27.188:4022/rtp/233.50.200.118:5140$浙江电信
四川卫视,http://183.151.27.188:4022/rtp/233.50.201.139:5140$浙江电信
四川卫视,http://183.164.46.181:6688/rtp/238.1.78.30:6168$安徽电信
四川卫视,http://183.165.195.249:7000/rtp/238.1.78.30:6168$安徽电信
四川卫视,http://223.10.214.111:6000/rtp/239.1.1.29:8029$山西电信
四川卫视,http://39.77.75.225:4000/udp/239.253.254.180:8000$山东联通
四川卫视,http://58.62.234.243:10000/rtp/239.77.0.159:5146$广东电信
天津卫视,http://106.37.149.152:8899/rtp/225.1.8.48:8044$北京市电信
天津卫视,http://171.8.84.159:8800/rtp/239.16.20.96:10960$河南电信
天津卫视,http://183.151.27.188:4022/rtp/233.50.200.104:5140$浙江电信
天津卫视,http://183.151.27.188:4022/rtp/233.50.201.104:5140$浙江电信
天津卫视,http://183.164.46.181:6688/rtp/238.1.78.20:6088$安徽电信
天津卫视,http://183.165.195.249:7000/rtp/238.1.78.20:6088$安徽电信
天津卫视,http://223.10.214.111:6000/rtp/239.1.1.46:8046$山西电信
天津卫视,http://39.77.75.225:4000/udp/239.253.254.89:8000$山东联通
天津卫视,http://58.62.234.243:10000/rtp/239.77.0.131:5146$广东电信
宁夏卫视,http://183.151.27.188:4022/rtp/233.50.202.45:5140$浙江电信
宁夏卫视,http://183.164.46.181:6688/rtp/238.1.78.109:6744$安徽电信
宁夏卫视,http://183.165.195.249:7000/rtp/238.1.78.109:6744$安徽电信
宁夏卫视,http://223.10.214.111:6000/rtp/239.1.1.56:8056$山西电信
宁夏卫视,http://58.62.234.243:10000/rtp/239.77.0.49:5146$广东电信
宁夏卫视,http://58.62.234.243:10000/rtp/239.77.0.73:5146$广东电信
安徽卫视,http://106.37.149.152:8899/rtp/225.1.8.52:8064$北京市电信
安徽卫视,http://171.8.84.159:8800/rtp/239.16.20.75:10750$河南电信
安徽卫视,http://183.151.27.188:4022/rtp/233.50.200.106:5140$浙江电信
安徽卫视,http://183.151.27.188:4022/rtp/233.50.201.113:5140$浙江电信
安徽卫视,http://183.164.46.181:6688/rtp/238.1.78.150:7072$安徽电信
安徽卫视,http://183.164.46.181:6688/rtp/238.1.79.27:4328$安徽电信
安徽卫视,http://183.165.195.249:7000/rtp/238.1.78.150:7072$安徽电信
安徽卫视,http://183.165.195.249:7000/rtp/238.1.79.27:4328$安徽电信
安徽卫视,http://223.10.214.111:6000/rtp/239.1.1.44:8044$山西电信
安徽卫视,http://39.77.75.225:4000/udp/239.253.254.87:8000$山东联通
安徽卫视,http://58.62.234.243:10000/rtp/239.77.0.183:5146$广东电信
山东卫视,http://106.37.149.152:8899/rtp/225.1.8.50:8052$北京市电信
山东卫视,http://171.8.84.159:8800/rtp/239.16.20.80:10800$河南电信
山东卫视,http://183.151.27.188:4022/rtp/233.50.200.127:5140$浙江电信
山东卫视,http://183.151.27.188:4022/rtp/233.50.201.105:5140$浙江电信
山东卫视,http://183.164.46.181:6688/rtp/238.1.78.169:7224$安徽电信
山东卫视,http://183.165.195.249:7000/rtp/238.1.78.169:7224$安徽电信
山东卫视,http://223.10.214.111:6000/rtp/239.1.1.47:8047$山西电信
山东卫视,http://39.77.75.225:4000/udp/239.253.254.78:8000$山东联通
山东卫视,http://58.62.234.243:10000/rtp/239.77.0.94:5146$广东电信
山西卫视,http://183.164.46.181:6688/rtp/238.1.78.95:6632$安徽电信
山西卫视,http://183.165.195.249:7000/rtp/238.1.78.95:6632$安徽电信
山西卫视,http://223.10.214.111:6000/rtp/239.1.1.1:8001$山西电信
山西卫视,http://58.62.234.243:10000/rtp/239.77.0.69:5146$广东电信
广东卫视,http://106.37.149.152:8899/rtp/225.1.8.49:8048$北京市电信
广东卫视,http://171.8.84.159:8800/rtp/239.16.20.98:10980$河南电信
广东卫视,http://183.151.27.188:4022/rtp/233.50.200.126:5140$浙江电信
广东卫视,http://183.151.27.188:4022/rtp/233.50.200.149:5140$浙江电信
广东卫视,http://183.151.27.188:4022/rtp/233.50.200.187:5140$浙江电信
广东卫视,http://183.151.27.188:4022/rtp/233.50.201.102:5140$浙江电信
广东卫视,http://183.151.27.188:4022/rtp/233.50.202.101:5140$浙江电信
广东卫视,http://183.164.46.181:6688/rtp/238.1.78.161:7160$安徽电信
广东卫视,http://183.165.195.249:7000/rtp/238.1.78.161:7160$安徽电信
广东卫视,http://223.10.214.111:6000/rtp/239.1.1.49:8049$山西电信
广东卫视,http://39.77.75.225:4000/udp/239.253.254.90:8000$山东联通
广东卫视,http://58.62.234.243:10000/rtp/239.77.0.27:5146$广东电信
广东卫视,http://58.62.234.243:10000/rtp/239.77.0.65:5146$广东电信
广东卫视,http://58.62.234.243:10000/rtp/239.77.0.66:5146$广东电信
广东卫视,http://58.62.234.243:10000/rtp/239.77.0.84:5146$广东电信
广西卫视,http://171.8.84.159:8800/rtp/239.16.20.84:10840$河南电信
广西卫视,http://183.151.27.188:4022/rtp/233.50.200.136:5140$浙江电信
广西卫视,http://183.164.46.181:6688/rtp/238.1.78.70:6432$安徽电信
广西卫视,http://183.165.195.249:7000/rtp/238.1.78.70:6432$安徽电信
广西卫视,http://223.10.214.111:6000/rtp/239.1.1.40:8040$山西电信
广西卫视,http://39.77.75.225:4000/udp/239.253.254.197:8000$山东联通
广西卫视,http://58.62.234.243:10000/rtp/239.77.0.139:5146$广东电信
新疆卫视,http://183.151.27.188:4022/rtp/233.50.202.46:5140$浙江电信
新疆卫视,http://183.164.46.181:6688/rtp/238.1.78.110:6752$安徽电信
新疆卫视,http://183.165.195.249:7000/rtp/238.1.78.110:6752$安徽电信
新疆卫视,http://223.10.214.111:6000/rtp/239.1.1.59:8059$山西电信
新疆卫视,http://58.62.234.243:10000/rtp/239.77.0.47:5146$广东电信
江苏卫视,http://106.37.149.152:8899/rtp/225.1.8.44:8028$北京市电信
江苏卫视,http://171.8.84.159:8800/rtp/239.16.20.74:10740$河南电信
江苏卫视,http://183.151.27.188:4022/rtp/233.50.200.144:5140$浙江电信
江苏卫视,http://183.151.27.188:4022/rtp/233.50.201.106:5140$浙江电信
江苏卫视,http://183.151.27.188:4022/rtp/233.50.202.107:5140$浙江电信
江苏卫视,http://183.164.46.181:6688/rtp/238.1.78.165:7192$安徽电信
江苏卫视,http://183.165.195.249:7000/rtp/238.1.78.165:7192$安徽电信
江苏卫视,http://223.10.214.111:6000/rtp/239.1.1.35:8035$山西电信
江苏卫视,http://39.77.75.225:4000/udp/239.253.254.83:8000$山东联通
江苏卫视,http://58.62.234.243:10000/rtp/239.77.0.57:5146$广东电信
江苏卫视,http://58.62.234.243:10000/rtp/239.77.1.18:5146$广东电信
江西卫视,http://106.37.149.152:8899/rtp/225.1.8.171:8166$北京市电信
江西卫视,http://171.8.84.159:8800/rtp/239.16.20.89:10890$河南电信
江西卫视,http://183.151.27.188:4022/rtp/233.50.200.119:5140$浙江电信
江西卫视,http://183.151.27.188:4022/rtp/233.50.201.145:5140$浙江电信
江西卫视,http://183.164.46.181:6688/rtp/238.1.78.26:6136$安徽电信
江西卫视,http://183.165.195.249:7000/rtp/238.1.78.26:6136$安徽电信
江西卫视,http://223.10.214.111:6000/rtp/239.1.1.52:8052$山西电信
江西卫视,http://39.77.75.225:4000/udp/239.253.254.47:8000$山东联通
江西卫视,http://58.62.234.243:10000/rtp/239.77.1.219:5146$广东电信
河北卫视,http://106.37.149.152:8899/rtp/225.1.8.76:8002$北京市电信
河北卫视,http://171.8.84.159:8800/rtp/239.16.20.88:10880$河南电信
河北卫视,http://183.151.27.188:4022/rtp/233.50.200.105:5140$浙江电信
河北卫视,http://183.151.27.188:4022/rtp/233.50.201.140:5140$浙江电信
河北卫视,http://183.164.46.181:6688/rtp/238.1.78.245:7832$安徽电信
河北卫视,http://183.165.195.249:7000/rtp/238.1.78.245:7832$安徽电信
河北卫视,http://223.10.214.111:6000/rtp/239.1.1.48:8048$山西电信
河北卫视,http://39.77.75.225:4000/udp/239.253.254.112:8000$山东联通
河北卫视,http://58.62.234.243:10000/rtp/239.77.1.214:5146$广东电信
河南卫视,http://171.8.84.159:8800/rtp/239.16.20.21:10210$河南电信
河南卫视,http://183.151.27.188:4022/rtp/233.50.200.142:5140$浙江电信
河南卫视,http://183.151.27.188:4022/rtp/233.50.201.144:5140$浙江电信
河南卫视,http://183.164.46.181:6688/rtp/238.1.79.65:4632$安徽电信
河南卫视,http://183.165.195.249:7000/rtp/238.1.79.65:4632$安徽电信
河南卫视,http://223.10.214.111:6000/rtp/239.1.1.34:8034$山西电信
河南卫视,http://39.77.75.225:4000/udp/239.253.254.190:8000$山东联通
河南卫视,http://58.62.234.243:10000/rtp/239.77.0.17:5146$广东电信
浙江卫视,http://106.37.149.152:8899/rtp/225.1.8.46:8036$北京市电信
浙江卫视,http://171.8.84.159:8800/rtp/239.16.20.71:10710$河南电信
浙江卫视,http://183.151.27.188:4022/rtp/233.50.200.145:5140$浙江电信
浙江卫视,http://183.151.27.188:4022/rtp/233.50.200.231:5140$浙江电信
浙江卫视,http://183.151.27.188:4022/rtp/233.50.201.100:5140$浙江电信
浙江卫视,http://183.151.27.188:4022/rtp/233.50.202.104:5140$浙江电信
浙江卫视,http://183.164.46.181:6688/rtp/238.1.78.164:7184$安徽电信
浙江卫视,http://183.165.195.249:7000/rtp/238.1.78.164:7184$安徽电信
浙江卫视,http://223.10.214.111:6000/rtp/239.1.1.38:8038$山西电信
浙江卫视,http://39.77.75.225:4000/udp/239.253.254.84:8000$山东联通
浙江卫视,http://58.62.234.243:10000/rtp/239.77.0.58:5146$广东电信
浙江卫视,http://58.62.234.243:10000/rtp/239.77.0.89:5146$广东电信
海南卫视,http://171.8.84.159:8800/rtp/239.16.20.97:10970$河南电信
海南卫视,http://183.151.27.188:4022/rtp/233.50.200.165:5140$浙江电信
海南卫视,http://183.151.27.188:4022/rtp/233.50.200.62:5140$浙江电信
海南卫视,http://183.151.27.188:4022/rtp/233.50.201.55:5140$浙江电信
海南卫视,http://183.164.46.181:6688/rtp/238.1.79.49:4504$安徽电信
海南卫视,http://183.165.195.249:7000/rtp/238.1.79.49:4504$安徽电信
海南卫视,http://223.10.214.111:6000/rtp/239.1.1.55:8055$山西电信
海南卫视,http://39.77.75.225:4000/udp/239.253.254.179:8000$山东联通
海南卫视,http://58.62.234.243:10000/rtp/239.253.43.35:5146$广东电信
深圳卫视,http://106.37.149.152:8899/rtp/225.1.8.43:8020$北京市电信
深圳卫视,http://171.8.84.159:8800/rtp/239.16.20.77:10770$河南电信
深圳卫视,http://183.151.27.188:4022/rtp/233.50.200.188:5140$浙江电信
深圳卫视,http://183.151.27.188:4022/rtp/233.50.201.101:5140$浙江电信
深圳卫视,http://183.164.46.181:6688/rtp/238.1.78.156:7120$安徽电信
深圳卫视,http://183.165.195.249:7000/rtp/238.1.78.156:7120$安徽电信
深圳卫视,http://223.10.214.111:6000/rtp/239.1.1.39:8039$山西电信
深圳卫视,http://39.77.75.225:4000/udp/239.253.254.91:8000$山东联通
深圳卫视,http://58.62.234.243:10000/rtp/239.77.0.92:5146$广东电信
湖北卫视,http://106.37.149.152:8899/rtp/225.1.8.47:8044$北京市电信
